code,name,total_mcap,sector,mcap_b,size_group,first_kline_date,first_year
002273,水晶光电,36643000000.0,光学元件,366.43,LARGE,2009-01-14,2009
603298,杭叉集团,36649000000.0,工程机械整机,366.49,LARGE,2016-12-26,2016
000921,海信家电,36685000000.0,空调,366.85,LARGE,2001-09-14,2001
002294,信立泰,36878000000.0,化学制剂,368.78,LARGE,2009-09-15,2009
000811,冰轮环境,36900000000.0,制冷空调设备,369.0,LARGE,2000-08-11,2000
000983,山西焦煤,36901000000.0,焦煤,369.01,LARGE,2000-10-24,2000
601208,东材科技,36973000000.0,膜材料,369.73,LARGE,2011-06-01,2011
603806,福斯特,37201000000.0,光伏辅材,372.01,LARGE,2014-10-09,2014
603392,万泰生物,37236000000.0,疫苗,372.36,LARGE,2020-04-28,2020
601162,天风证券,37274000000.0,证券Ⅲ,372.74,LARGE,2018-10-26,2018
002966,苏州银行,37285000000.0,城商行Ⅲ,372.85,LARGE,2019-08-01,2019
600685,中船防务,37373000000.0,航海装备Ⅲ,373.73,LARGE,2001-07-03,2001
300832,新产业,37550000000.0,体外诊断,375.5,LARGE,2020-05-11,2020
000878,云南铜业,37663000000.0,铜,376.63,LARGE,2000-11-30,2000
600901,江苏金租,37705000000.0,租赁,377.05,LARGE,2018-02-28,2018
605376,博迁新材,37822000000.0,其他金属新材料,378.22,LARGE,2020-12-07,2020
002195,岩山科技,37909000000.0,IT服务Ⅲ,379.09,LARGE,2008-05-12,2008
600663,陆家嘴,37915000000.0,商业地产,379.15,LARGE,2000-10-10,2000
600863,华能蒙电,37922000000.0,火力发电,379.22,LARGE,2000-07-05,2000
601577,长沙银行,37963000000.0,城商行Ⅲ,379.63,LARGE,2018-09-25,2018
601108,财通证券,38079000000.0,证券Ⅲ,380.79,LARGE,2017-10-31,2017
002407,多氟多,38082000000.0,氟化工,380.82,LARGE,2010-10-14,2010
301611,珂玛科技,38403000000.0,半导体材料,384.03,LARGE,2024-08-15,2024
601665,齐鲁银行,38585000000.0,城商行Ⅲ,385.85,LARGE,2021-06-17,2021
600909,华安证券,38787000000.0,证券Ⅲ,387.87,LARGE,2016-12-13,2016
002945,华林证券,38799000000.0,证券Ⅲ,387.99,LARGE,2019-01-16,2019
600143,金发科技,38896000000.0,改性塑料,388.96,LARGE,2005-01-14,2005
000987,越秀资本,38933000000.0,金融控股,389.33,LARGE,2001-06-15,2001
301696,三瑞智能,38969000000.0,航空装备Ⅲ,389.69,LARGE,2026-04-09,2026
603260,合盛硅业,39036000000.0,有机硅,390.36,LARGE,2017-10-27,2017
300782,卓胜微,39105000000.0,模拟芯片设计,391.05,LARGE,2019-06-17,2019
000002,万  科Ａ,39133000000.0,住宅开发,391.33,LARGE,2000-11-23,2000
001286,陕西能源,39300000000.0,火力发电,393.0,LARGE,2023-04-07,2023
601136,首创证券,39305000000.0,证券Ⅲ,393.05,LARGE,2022-12-21,2022
600968,海油发展,39339000000.0,油田服务,393.39,LARGE,2019-06-25,2019
300458,全志科技,39487000000.0,数字芯片设计,394.87,LARGE,2015-05-28,2015
002636,金安国纪,39720000000.0,印制电路板,397.2,LARGE,2012-05-30,2012
002601,龙佰集团,39745000000.0,钛白粉,397.45,LARGE,2011-12-19,2011
300395,菲利华,39745000000.0,航空装备Ⅲ,397.45,LARGE,2014-09-09,2014
600578,京能电力,39833000000.0,火力发电,398.33,LARGE,2003-03-04,2003
301656,联合动力,39968000000.0,汽车电子电气系统,399.68,LARGE,2025-09-24,2025
601216,君正集团,39996000000.0,氯碱,399.96,LARGE,2011-08-23,2011
601555,东吴证券,40097000000.0,证券Ⅲ,400.97,LARGE,2012-01-31,2012
002078,太阳纸业,40577000000.0,大宗用纸,405.77,LARGE,2007-02-09,2007
002203,海亮股份,40702000000.0,铜,407.02,LARGE,2009-01-19,2009
603087,甘李药业,40725000000.0,其他生物制品,407.25,LARGE,2020-06-24,2020
601963,重庆银行,40971000000.0,城商行Ⅲ,409.71,LARGE,2021-02-04,2021
600601,方正科技,40985000000.0,印制电路板,409.85,LARGE,2000-04-20,2000
600995,南网储能,41005000000.0,电能综合服务,410.05,LARGE,2004-12-09,2004
001203,大中矿业,41025000000.0,铁矿石,410.25,LARGE,2021-05-07,2021
600021,上海电力,41087000000.0,火力发电,410.87,LARGE,2004-07-02,2004
600985,淮北矿业,41315000000.0,焦煤,413.15,LARGE,2005-06-22,2005
600061,国投资本,41370000000.0,金融控股,413.7,LARGE,2000-11-03,2000
600570,恒生电子,41414000000.0,垂直应用软件,414.14,LARGE,2004-05-28,2004
300972,万辰集团,41697000000.0,零食,416.97,LARGE,2021-04-16,2021
600871,石化油服,41706000000.0,油田服务,417.06,LARGE,2000-12-21,2000
300979,华利集团,42129000000.0,纺织鞋类制造,421.29,LARGE,2021-04-23,2021
600642,申能股份,42285000000.0,火力发电,422.85,LARGE,2000-04-07,2000
300058,蓝色光标,42293000000.0,营销代理,422.93,LARGE,2010-12-31,2010
000999,华润三九,42388000000.0,中药Ⅲ,423.88,LARGE,2001-04-25,2001
002555,三七互娱,42431000000.0,游戏Ⅲ,424.31,LARGE,2012-05-04,2012
300919,中伟新材,42729000000.0,电池化学品,427.29,LARGE,2020-12-22,2020
300548,长芯博创,42747000000.0,通信网络设备及器件,427.47,LARGE,2016-10-17,2016
603049,中策橡胶,43278000000.0,轮胎轮毂,432.78,LARGE,2025-06-04,2025
601878,浙商证券,43634000000.0,证券Ⅲ,436.34,LARGE,2017-06-23,2017
300347,泰格医药,43723000000.0,医疗研发外包,437.23,LARGE,2013-03-15,2013
002428,云南锗业,43746000000.0,其他小金属,437.46,LARGE,2010-07-02,2010
001257,盛龙股份,43898000000.0,钼,438.98,LARGE,2026-03-30,2026
600352,浙江龙盛,44083000000.0,纺织化学制品,440.83,LARGE,2003-12-03,2003
600918,中泰证券,44264000000.0,证券Ⅲ,442.64,LARGE,2020-06-02,2020
301511,德福科技,44324000000.0,锂电池,443.24,LARGE,2023-08-16,2023
601198,东兴证券,44381000000.0,证券Ⅲ,443.81,LARGE,2015-04-07,2015
003031,中瓷电子,44451000000.0,通信终端及配件,444.51,LARGE,2021-01-15,2021
300454,深信服,44546000000.0,横向通用软件,445.46,LARGE,2018-05-15,2018
000066,中国长城,44806000000.0,其他计算机设备,448.06,LARGE,2001-04-26,2001
600105,永鼎股份,44898000000.0,通信线缆及配套,448.98,LARGE,2000-08-04,2000
601021,春秋航空,45091000000.0,航空运输,450.91,LARGE,2015-03-02,2015
300751,迈为股份,45146000000.0,光伏加工设备,451.46,LARGE,2018-11-08,2018
601058,赛轮轮胎,45540000000.0,轮胎轮毂,455.4,LARGE,2011-08-19,2011
600497,驰宏锌锗,45767000000.0,铅锌,457.67,LARGE,2005-07-01,2005
603979,金诚信,45830000000.0,铜,458.3,LARGE,2015-06-29,2015
601598,中国外运,45912000000.0,跨境物流,459.12,LARGE,2019-01-17,2019
601699,潞安环能,46217000000.0,焦煤,462.17,LARGE,2006-11-14,2006
600580,卧龙电驱,46286000000.0,电机Ⅲ,462.86,LARGE,2003-01-03,2003
603129,春风动力,46505000000.0,摩托车,465.05,LARGE,2017-08-17,2017
300037,新宙邦,46530000000.0,电池化学品,465.3,LARGE,2010-05-21,2010
600726,华电能源,46653000000.0,火力发电,466.53,LARGE,2000-07-03,2000
000039,中集集团,46915000000.0,金属制品,469.15,LARGE,2000-06-22,2000
600498,烽火通信,46938000000.0,通信网络设备及器件,469.38,LARGE,2002-01-16,2002
600801,华新建材,46985000000.0,水泥制造,469.85,LARGE,2000-04-27,2000
603156,养元饮品,47071000000.0,软饮料,470.71,LARGE,2018-02-09,2018
300390,天华新能,47270000000.0,电池化学品,472.7,LARGE,2014-11-13,2014
601117,中国化学,47318000000.0,化学工程,473.18,LARGE,2010-01-15,2010
300418,昆仑万维,47328000000.0,门户网站,473.28,LARGE,2015-05-08,2015
000893,亚钾国际,47432000000.0,钾肥,474.32,LARGE,2001-11-06,2001
000783,长江证券,47559000000.0,证券Ⅲ,475.59,LARGE,2001-04-18,2001
300373,扬杰科技,47597000000.0,分立器件,475.97,LARGE,2014-04-02,2014
000596,古井贡酒,48055000000.0,白酒Ⅲ,480.55,LARGE,2000-11-16,2000
300628,亿联网络,48485000000.0,通信终端及配件,484.85,LARGE,2017-03-16,2017
600879,航天电子,48533000000.0,航天装备Ⅲ,485.33,LARGE,2000-08-28,2000
600895,张江高科,48551000000.0,产业地产,485.51,LARGE,2000-04-05,2000
300803,指南针,49046000000.0,垂直应用软件,490.46,LARGE,2019-11-15,2019
301269,华大九天,49309000000.0,垂直应用软件,493.09,LARGE,2022-08-11,2022
600460,士兰微,49756000000.0,分立器件,497.56,LARGE,2003-09-19,2003
002850,科达利,49891000000.0,锂电池,498.91,LARGE,2017-03-01,2017
600418,江淮汽车,49975000000.0,商用载货车,499.75,LARGE,2002-05-31,2002
300316,晶盛机电,50325000000.0,光伏加工设备,503.25,LARGE,2012-10-10,2012
600845,宝信软件,50528000000.0,IT服务Ⅲ,505.28,LARGE,2001-05-23,2001
601456,国联民生,50841000000.0,证券Ⅲ,508.41,LARGE,2020-08-27,2020
000831,中国稀土,50970000000.0,稀土,509.7,LARGE,2002-04-04,2002
002920,德赛西威,51236000000.0,汽车电子电气系统,512.36,LARGE,2017-12-25,2017
002558,巨人网络,51277000000.0,游戏Ⅲ,512.77,LARGE,2012-09-04,2012
000963,华东医药,51297000000.0,化学制剂,512.97,LARGE,2000-10-09,2000
002074,国轩高科,51339000000.0,锂电池,513.39,LARGE,2007-09-26,2007
600438,通威股份,51953000000.0,光伏主材,519.53,LARGE,2005-01-07,2005
002484,江海股份,52222000000.0,被动元件,522.22,LARGE,2010-10-13,2010
600741,华域汽车,52241000000.0,车身附件及饰件,522.41,LARGE,2000-08-01,2000
002436,兴森科技,52299000000.0,印制电路板,522.99,LARGE,2011-02-18,2011
002812,恩捷股份,52363000000.0,电池化学品,523.63,LARGE,2017-02-13,2017
603659,璞泰来,52404000000.0,电池化学品,524.04,LARGE,2018-01-22,2018
600885,宏发股份,52587000000.0,电网自动化设备,525.87,LARGE,2001-02-09,2001
601377,兴业证券,52592999999.99999,证券Ⅲ,525.93,LARGE,2010-11-18,2010
000960,锡业股份,52654000000.0,其他小金属,526.54,LARGE,2000-10-17,2000
600219,南山铝业,52710000000.0,铝,527.1,LARGE,2000-09-18,2000
300620,光库科技,52946000000.0,通信网络设备及器件,529.46,LARGE,2017-03-23,2017
001391,国货航,52987000000.0,跨境物流,529.87,LARGE,2024-12-27,2024
601233,桐昆股份,53028000000.0,其他石化,530.28,LARGE,2011-06-03,2011
301536,星宸科技,53064000000.0,数字芯片设计,530.64,LARGE,2024-03-27,2024
603083,剑桥科技,53245000000.00001,通信终端及配件,532.45,LARGE,2017-11-09,2017
601059,信达证券,53315000000.0,证券Ⅲ,533.15,LARGE,2023-02-28,2023
300765,石药创新,53375000000.0,原料药,533.75,LARGE,2019-04-19,2019
601877,正泰电器,53379999999.99999,配电设备,533.8,LARGE,2010-08-19,2010
002236,大华股份,53680999999.99999,安防设备,536.81,LARGE,2008-06-25,2008
